deployment_level,mach,cd_increment
0.8589,0.3707,0.09888979200000003
0.8589,0.3766,0.09530168550000001
0.8589,0.3835,0.09549553449999998
0.8589,0.4419,0.09463714499999998
0.8589,0.4464,0.09516109550000001
0.8589,0.4514,0.0955569155
0.8589,0.457,0.094950264
0.8589,0.4634,0.097420691
0.8589,0.4707,0.09797182800000004
0.8589,0.4793,0.09803876099999997
0.8589,0.5302,0.09368703699999997
0.8589,0.5357,0.09184061949999994
0.8589,0.5417,0.09309429849999995
0.8589,0.5485,0.092602138
0.8589,0.5561,0.09377280600000004
0.8589,0.5649,0.09713473300000003
0.8589,0.5752,0.09745808
0.8589,0.6186,0.093703606
0.8589,0.625,0.09543802799999995
0.8589,0.632,0.093098067
0.8589,0.6399,0.09210792000000001
0.8589,0.6488,0.09282465200000001
0.8589,0.659,0.091150226
0.8589,0.6711,0.09222840999999998
0.8589,0.707,0.09300470449999998
0.8589,0.7142,0.09651026349999997
0.8589,0.7223,0.094347197
0.8589,0.7313,0.09355336400000003
0.8589,0.7415,0.09318198500000002
0.8589,0.7532,0.09042596200000003
0.8589,0.767,0.09301133899999997
0.8589,0.7953,0.09364164399999997
0.8589,0.8035,0.095431035
0.8589,0.8126,0.09662905399999999
0.8589,0.8227,0.09431019500000004
0.8589,0.8342,0.09406347199999998
0.8589,0.8473,0.09218839000000001
0.8589,0.8628,0.09143884600000002
0.8589,0.8837,0.09439183699999998
0.8589,0.8928,0.09418800699999996
0.8589,0.9029,0.09377322700000001
0.8589,0.9141,0.094874175
0.8589,0.9268,0.09534228
0.8589,0.9415,0.09323033600000002
0.8589,0.9587,0.09092293399999996
0.923,0.0884,0.09655943450000004
0.923,0.0893,0.07741598250000004
0.923,0.0903,0.07866403950000006
0.923,0.0914,0.07650352050000003
0.923,0.0927,0.07871959850000004
0.923,0.0941,0.08177405850000008
0.923,0.0959,0.07078441799999996
0.923,0.1767,0.11925373524999999
0.923,0.1786,0.12131622624999999
0.923,0.1806,0.07757833624999999
0.923,0.1828,0.08267882325000003
0.923,0.1854,0.07732735966666665
0.923,0.1883,0.08412024166666665
0.923,0.1917,0.08591352566666666
0.923,0.2651,0.12132601975000001
0.923,0.2678,0.09349984075000001
0.923,0.2709,0.09506945875
0.923,0.2742,0.09003132775
0.923,0.2781,0.08447739199999998
